case_id,case_label,level_id,level_label,level_order,engine,variant,step,newton_iterations,linear_iterations,linear_solve_time,linear_preconditioner_time,linear_orthogonalization_time,newton_relres_end,output_dir
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,7,14.0,165.0,30.384110069979215,6.060126674026833,6.605333584011532,0.0002465376130796554,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,8,7.0,58.0,10.892488339988631,2.957130231006886,2.186012134014163,0.0017287912481361385,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,9,8.0,58.0,10.551614527008496,3.3151169209886575,2.8439167230244493,0.0035243304374275386,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,10,3.0,16.0,3.014451779992669,1.2450720729975728,0.8077806950022932,0.009441303661747412,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,11,3.0,17.0,3.1350204199989093,1.2365897230047267,0.9027388989925385,0.023613383277195685,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,12,2.0,11.0,2.0070524479961023,0.829153746002703,0.6406127590016695,0.045129477701095634,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,matlab,main,1,6.0,31.0,7.394238999999999,7.801938,0.38875400000000004,3.884243686322479e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,matlab,main,2,6.0,31.0,7.46996,7.789210000000001,0.475028,9.375675896954402e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,matlab,main,3,7.0,39.0,9.451024999999998,9.444946999999999,0.7898559999999999,5.7925079117294285e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,matlab,main,4,10.0,63.0,15.406849999999999,14.325097,1.8151100000000002,2.651716202515682e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,matlab,main,5,10.0,77.0,19.06761699999999,14.571033,2.1735190000000006,8.462489169056155e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,matlab,main,6,16.0,210.0,52.835845000000006,24.923564,6.022,3.6018495392638484e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,matlab,main,7,19.0,207.0,53.14868100000001,30.895048000000017,9.194857999999998,9.152698126795467e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_matlab_main
